성별,연령대,기간,카테고리,브랜드명,상품명,정상가,할인가,할인율(%),상품URL,이미지URL
남성,30-34세,1개월,전체,디스이즈네버댓,PERTEX T Down Jacket Dark Sage,259000,207200,20,https://www.musinsa.com/products/5549648,https://image.msscdn.net/thumbnails/images/goods_img/20250930/5549648/5549648_17600606466460_500.jpg?w=780
남성,30-34세,1개월,전체,무신사 스탠다드,릴렉스 핏 크루 넥 티셔츠 2팩,31800,25490,20,https://www.musinsa.com/products/2034137,https://image.msscdn.net/thumbnails/images/goods_img/20210719/2034137/2034137_17138591099209_500.jpg?w=780
남성,30-34세,1개월,전체,나인제트,시그니처 모크넥 머슬핏 긴팔 티셔츠,37000,29600,20,https://www.musinsa.com/products/4298658,https://image.msscdn.net/thumbnails/images/goods_img/20240806/4298658/4298658_17572992703274_500.jpg?w=780
남성,30-34세,1개월,전체,브론슨,Blue Chambray Work Shirt KR Ver. Light Indigo,74000,62900,15,https://www.musinsa.com/products/4306299,https://image.msscdn.net/thumbnails/images/goods_img/20240807/4306299/4306299_17580020955933_500.jpg?w=780
남성,30-34세,1개월,전체,넌블랭크,루즈 핏 하프 집업 칼라 니트_MELANGE BROWN,119900,95920,20,https://www.musinsa.com/products/2792915,https://image.msscdn.net/thumbnails/images/goods_img/20220915/2792915/2792915_16951977222305_500.jpg?w=780
남성,30-34세,1개월,전체,셀렉스,프로핏 WPI 드링크 코코넛 330ml x 12개,38400,28900,25,https://www.musinsa.com/products/5406310,https://image.msscdn.net/thumbnails/images/goods_img/20250905/5406310/5406310_17618895317024_500.jpg?w=780
남성,30-34세,1개월,전체,노스페이스,NJ1DR62A 남성 클라우드 눕시 다운 자켓 (RDS) BLACK,449000,449000,5,https://www.musinsa.com/products/5357327,https://image.msscdn.net/thumbnails/images/goods_img/20250825/5357327/5357327_17560867498588_500.jpg?w=780
남성,35-39세,1주,전체,디미트리블랙,VLAD 라이트 쉘 경량 다운 자켓_립스탑 그레이,121000,79990,34,https://www.musinsa.com/products/5636394,https://image.msscdn.net/thumbnails/images/goods_img/20251023/5636394/5636394_17615265808020_500.jpg?w=780
남성,35-39세,1주,전체,금강,리갈 201 남성 티롤리안 REGOXG5029F 3종 택1,375000,337500,10,https://www.musinsa.com/products/5274919,https://image.msscdn.net/thumbnails/images/goods_img/20250728/5274919/5274919_17537770137298_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드,라운지 스웨트 팬츠 [블랙],31900,28790,10,https://www.musinsa.com/products/1212776,https://image.msscdn.net/thumbnails/images/goods_img/20191105/1212776/1212776_17028733877363_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드,메리노 울 블렌드 하이게이지 터틀 넥 니트 [블랙],46900,44590,5,https://www.musinsa.com/products/2778674,https://image.msscdn.net/thumbnails/images/goods_img/20220907/2778674/2778674_17286355662545_500.jpg?w=780
남성,35-39세,1주,전체,반스,MTE 하버 뮬 VR3 - 카키 / VN000CW3KHK1,79000,54990,30,https://www.musinsa.com/products/4343634,https://image.msscdn.net/thumbnails/images/goods_img/20240819/4343634/4343634_17267211288023_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드,와이드 히든 밴딩 슬랙스 [미디엄 그레이],41900,37790,10,https://www.musinsa.com/products/1222184,https://image.msscdn.net/thumbnails/images/goods_img/20191113/1222184/1222184_17222997169530_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드 스포츠,[신규컬러추가]탱커 라이트 벤트 패딩 자켓 (7color),119900,113890,5,https://www.musinsa.com/products/5016792,https://image.msscdn.net/thumbnails/images/goods_img/20250411/5016792/5016792_17645531255973_500.jpg?w=780
남성,35-39세,1주,전체,토피,2WAY 스웻 후드 집업 (MELANGE GREY),45000,35900,20,https://www.musinsa.com/products/1778404,https://image.msscdn.net/thumbnails/images/goods_img/20210204/1778404/1778404_1_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드,세미 와이드 히든 밴딩 슬랙스 [미디엄 그레이],39900,37990,5,https://www.musinsa.com/products/1224095,https://image.msscdn.net/thumbnails/images/goods_img/20191113/1224095/1224095_17518463307099_500.jpg?w=780
남성,35-39세,1주,전체,컨버스,[스탠다드] 척 70 클래식 블랙 162050C,99000,99000,30,https://www.musinsa.com/products/810033,https://image.msscdn.net/thumbnails/images/goods_img/20180703/810033/810033_17642195316897_500.jpg?w=780
남성,35-39세,1주,전체,오브제,내추럴 커버 파운데이션 + 올인원 쿨 픽싱 미스트 30ml 증정,46000,33900,26,https://www.musinsa.com/products/2307295,https://image.msscdn.net/thumbnails/images/goods_img/20220113/2307295/2307295_17633460944360_500.jpg?w=780
남성,35-39세,1주,전체,데꼬로소,DR 자수 크롭 푸퍼 숏 패딩 [블랙],190000,128000,33,https://www.musinsa.com/products/5553102,https://image.msscdn.net/thumbnails/images/goods_img/20250930/5553102/5553102_17593718247892_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드,미니멀 후디드 다운 숏 패딩 재킷 [블랙],169900,161490,5,https://www.musinsa.com/products/3395772,https://image.msscdn.net/thumbnails/images/goods_img/20230705/3395772/3395772_16982094036586_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드,카라코람 다운 파카 [카키],239900,227990,5,https://www.musinsa.com/products/4356808,https://image.msscdn.net/thumbnails/images/goods_img/20240822/4356808/4356808_17314767936682_500.jpg?w=780
남성,35-39세,1주,전체,밀로 아카이브,크롭 실루엣 니트 [멜란지 그레이],108000,86400,20,https://www.musinsa.com/products/4441592,https://image.msscdn.net/thumbnails/images/goods_img/20240916/4441592/4441592_17268183875497_500.jpg?w=780
남성,35-39세,1주,전체,마인드브릿지,두굿_코듀로이 숏 패딩 점퍼 - 2color,179000,141100,21,https://www.musinsa.com/products/5489899,https://image.msscdn.net/thumbnails/images/goods_img/20250918/5489899/5489899_17630856720274_500.jpg?w=780
남성,35-39세,1주,전체,시그니처,소프트 헤비 코듀로이 원턱 밴딩 팬츠[모카브라운],59900,23900,60,https://www.musinsa.com/products/3690591,https://image.msscdn.net/thumbnails/images/goods_img/20231107/3690591/3690591_17004408864665_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드,울 블렌드 오버사이즈 하프 발마칸 코트 [블랙],139900,131590,6,https://www.musinsa.com/products/4209274,https://image.msscdn.net/thumbnails/images/goods_img/20240620/4209274/4209274_17325139997884_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드,캐시미어 블렌드 오버 숄더 발마칸 코트 [차콜 그레이],229900,183990,20,https://www.musinsa.com/products/5205716,https://image.msscdn.net/thumbnails/images/goods_img/20250625/5205716/5205716_17606778229234_500.jpg?w=780
남성,35-39세,1주,전체,일오공칠,[5PACK] 1507 유니섹스 컬러 트라우져 삭스 - 컬러선택형,13500,10900,19,https://www.musinsa.com/products/1729576,https://image.msscdn.net/thumbnails/images/goods_img/20201223/1729576/1729576_17519377921761_500.jpg?w=780
남성,35-39세,1주,전체,넌블랭크,3버튼 체스터필드 코트_BLACK,229900,183920,20,https://www.musinsa.com/products/2826071,https://image.msscdn.net/thumbnails/images/goods_img/20220928/2826071/2826071_17611941848066_500.png?w=780
남성,35-39세,1주,전체,도프제이슨,하이넥 레더 무톤 자켓 BLACK,235000,149000,37,https://www.musinsa.com/products/2822504,https://image.msscdn.net/thumbnails/images/goods_img/20220927/2822504/2822504_17025147938810_500.jpg?w=780
남성,35-39세,1주,전체,컨버스,다크쉐도우 원스타 애시드 A14797C,229000,229000,0,https://www.musinsa.com/products/5677876,https://image.msscdn.net/thumbnails/images/goods_img/20251103/5677876/5677876_17623036227699_500.jpg?w=780
남성,35-39세,1주,전체,드로우핏,프리미어 퓨어 캐시미어 로브 더블 코트 [CHESTNUT BROWN],308000,246400,20,https://www.musinsa.com/products/2085823,https://image.msscdn.net/thumbnails/images/goods_img/20210825/2085823/2085823_17588739997509_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드,시티 레저 논 퀼팅 다운 숏 패딩 재킷 [블랙],179900,170990,5,https://www.musinsa.com/products/4356813,https://image.msscdn.net/thumbnails/images/goods_img/20240822/4356813/4356813_17273400818203_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드,미니멀 롱 다운 파카 [블랙],189900,161490,15,https://www.musinsa.com/products/2116427,https://image.msscdn.net/thumbnails/images/goods_img/20210908/2116427/2116427_17139420960063_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드,캐시미어 블렌드 대디 숄더 싱글 롱 코트 [미디엄 그레이],189900,180490,5,https://www.musinsa.com/products/2518445,https://image.msscdn.net/thumbnails/images/goods_img/20220427/2518445/2518445_16986312804437_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드,레플리카 퍼티그 팬츠 [블랙],43900,41790,5,https://www.musinsa.com/products/1627893,https://image.msscdn.net/thumbnails/images/goods_img/20200928/1627893/1627893_1_500.jpg?w=780
남성,35-39세,1주,전체,도프제이슨,[리뉴얼] 오버핏 풀업 스웨이드 싱글 자켓 모카,162000,129000,20,https://www.musinsa.com/products/4346922,https://image.msscdn.net/thumbnails/images/goods_img/20240820/4346922/4346922_17249831351015_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드,데일리 발마칸 코트 [네이비],129900,97490,25,https://www.musinsa.com/products/4209301,https://image.msscdn.net/thumbnails/images/goods_img/20240620/4209301/4209301_17325137470770_500.jpg?w=780
남성,35-39세,1주,전체,드릭스,특양면 오버핏 롱 슬리브 티셔츠_5color,37000,19990,46,https://www.musinsa.com/products/4886714,https://image.msscdn.net/thumbnails/images/goods_img/20250312/4886714/4886714_17417603907744_500.jpg?w=780
남성,35-39세,1주,전체,유니온블루,ITALY LAMBSKIN SINGLE JACKET [BLACK EDITION],726000,653400,10,https://www.musinsa.com/products/5580459,https://image.msscdn.net/thumbnails/images/goods_img/20251013/5580459/5580459_17604191961188_500.jpg?w=780
